First Name,Last Name,Home Phone,Mobile Phone,Street Address,City,State,Zip,Date of Birth
Bobby,Taylor,3661773140,3955413767,8001 NW Cedar St,Urbandale,IA,50310,3/12/1973
Kimberly,Williams,8241776246,8129092443,2702  Third St.,Des Moines,IA,51023,11/7/1958
Zachary,Johnson,3311774350,8467199092,7531  Fourth St,Winterset,IA,50123,11/9/1963
Judy,Brown,5406066539,7005775245,4570  Magnolia Prkwy,Waukee,IA,50322,2/2/1971
Philip,Wilson,7845844320,4657665851,3646  Cedar St,Ankeny,IA,50312,7/6/1951
Alan,Thomas,4454439708,3573446539,15489  University Ave,Ankeny,IA,50123,7/19/1975
Angela,Wood,8097066744,7249242056,7458  7th Avenue,Des Moines,IA,50309,2/8/1981
Benjamin,Thomas,3675848653,5665189237,16665 N 5th Ave,Winterset,IA,50309,2/29/1957
Willie,Wood,5408711073,,5555  Maple Way,Winterset,IA,51471,4/12/2000
Luke,Williams,1219288216,5152498668,15979 NW Oak Lane,Urbandale,IA,50310,4/15/1981
Ben,Robinson,7077323644,5157786313,5928 E Third St.,Clive,IA,50123,4/1/1977
Eric,Jones,7252471921,4107033568,12853  7th Place,Winterset,IA,50322,12/9/1948
Melanie,Smith,8466032318,3192319603,16080  4th Lane,Ankeny,IA,51023,12/13/1971
Nicholas,Davies,5665299423,7253298058,18125  1st St,Waukee,IA,50309,6/18/1970
Bryan,Thomas,4452315717,8011288922,1242  Medow Place,Clive,IA,50309,9/10/1953
Walter,Davies,7729186081,4659221073,19851  Third Blvd.,Ankeny,IA,51023,9/25/1999
